지점,지점명,일시,SPI6
101,춘천,2017-01-26,-1.271
101,춘천,2017-01-27,-1.192
101,춘천,2017-01-28,-1.219
101,춘천,2017-01-29,-1.102
101,춘천,2017-01-30,-1.008
101,춘천,2017-01-31,-.949
101,춘천,2017-02-01,-.933
101,춘천,2017-02-02,-.885
101,춘천,2017-02-03,-.817
101,춘천,2017-02-04,-.775
101,춘천,2017-02-05,-.723
101,춘천,2017-02-06,-.681
101,춘천,2017-02-07,-.644
101,춘천,2017-02-08,-.575
101,춘천,2017-02-09,-.482
101,춘천,2017-02-10,-.444
101,춘천,2017-02-11,-.398
101,춘천,2017-02-12,-.346
101,춘천,2017-02-13,-.306
101,춘천,2017-02-14,-.258
101,춘천,2017-02-15,-.207
101,춘천,2017-02-16,-.188
101,춘천,2017-02-17,-.119
101,춘천,2017-02-18,-.094
101,춘천,2017-02-19,-.016
101,춘천,2017-02-20,.02
101,춘천,2017-02-21,.075
101,춘천,2017-02-22,.068
101,춘천,2017-02-23,.18
101,춘천,2017-02-24,.223
101,춘천,2017-02-25,.263
101,춘천,2017-02-26,.296
101,춘천,2017-02-27,.318
101,춘천,2017-02-28,.425
101,춘천,2017-03-01,.515
101,춘천,2017-03-02,.528
101,춘천,2017-03-03,.554
101,춘천,2017-03-04,.567
101,춘천,2017-03-05,.583
101,춘천,2017-03-06,.457
101,춘천,2017-03-07,.229
101,춘천,2017-03-08,.23
101,춘천,2017-03-09,.235
101,춘천,2017-03-10,.383
101,춘천,2017-03-11,.4
101,춘천,2017-03-12,.472
101,춘천,2017-03-13,.522
101,춘천,2017-03-14,.579
101,춘천,2017-03-15,.597
101,춘천,2017-03-16,.635
101,춘천,2017-03-17,.705
101,춘천,2017-03-18,.74
101,춘천,2017-03-19,.793
101,춘천,2017-03-20,.864
101,춘천,2017-03-21,.854
101,춘천,2017-03-22,.849
